13:42:57.270 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
13:43:03.549 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\YVKG\nacos\config
13:43:03.553 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0
13:43:04.216 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 272 ms to scan 1 urls, producing 3 keys and 6 values 
13:43:04.258 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 4 keys and 9 values 
13:43:04.287 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 3 keys and 10 values 
13:43:04.303 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
13:43:04.334 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 1 keys and 7 values 
13:43:04.356 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 2 keys and 8 values 
13:43:04.518 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
13:43:04.519 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$450/0x0000000800403040
13:43:04.526 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$451/0x0000000800403440
13:43:04.530 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
13:43:04.531 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
13:43:04.563 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
13:43:09.573 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0] Success to connect to server [127.0.0.1:8848] on start up,connectionId=1642570989306_180.171.84.128_2050
13:43:09.573 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Notify connected event to listeners.
13:43:09.574 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
13:43:09.574 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0] Connected,notify listen context...
13:43:09.575 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0674c7ad-7ca5-4eed-af85-2fd989a20262_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
13:43:09.641 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
13:43:09.676 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
13:43:09.755 [main] INFO  c.q.g.MallGatewayApplication - [logStartupProfileInfo,674] - The following profiles are active: dev
13:43:16.819 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
13:43:17.158 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
13:43:17.159 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
13:43:17.160 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
13:43:17.188 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 98c005c7-9fdb-45f0-8334-04d07af2b32c
13:43:17.189 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]RpcClient init label, labels={module=naming, source=sdk}
13:43:17.191 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
13:43:17.192 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
13:43:17.193 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
13:43:17.194 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
13:43:17.339 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c] Success to connect to server [127.0.0.1:8848] on start up,connectionId=1642570997216_180.171.84.128_2051
13:43:17.340 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]Notify connected event to listeners.
13:43:17.340 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
13:43:17.342 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.client.naming - [onConnected,76] - Grpc connection connect
13:43:17.342 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [98c005c7-9fdb-45f0-8334-04d07af2b32c]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
